[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/checkInternet/network_monitor_20260908_104939.txt
[SUMMARY] Total outage events detected: 142
[SUMMARY] Event 118: type=INTERNET_ONLY | start=2026-09-08 14:50:21 | end=2026-09-08 14:50:31 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 119: type=INTERNET_ONLY | start=2026-09-08 14:51:36 | end=2026-09-08 14:51:56 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 120: type=INTERNET_ONLY | start=2026-09-08 14:53:17 | end=2026-09-08 14:53:27 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 121: type=INTERNET_ONLY | start=2026-09-08 14:54:38 | end=2026-09-08 14:54:58 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 122: type=INTERNET_ONLY | start=2026-09-08 14:56:09 | end=2026-09-08 14:56:09 | duration=0s | gateway=OK->OK | internet=FAIL->FAIL
[SUMMARY] Event 123: type=INTERNET_ONLY | start=2026-09-08 14:58:15 | end=2026-09-08 14:58:25 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 124: type=INTERNET_ONLY | start=2026-09-08 14:59:31 | end=2026-09-08 14:59:51 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 125: type=INTERNET_ONLY | start=2026-09-08 15:03:43 | end=2026-09-08 15:03:53 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 126: type=INTERNET_ONLY | start=2026-09-08 15:23:16 | end=2026-09-08 15:23:56 | duration=40s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 127: type=INTERNET_ONLY | start=2026-09-08 15:24:37 | end=2026-09-08 15:24:47 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 128: type=INTERNET_ONLY | start=2026-09-08 15:37:42 | end=2026-09-08 15:37:52 | duration=10s | gateway=OK->OK | internet=FAIL->OK
